Programm log: 0.014893054962: Including mr_ses 0.019701004028: Including mr_sql 0.023802995682: Database connected 0.023941993713: SELECT * FROM mr_sessions WHERE user_id IS NULL AND remote_addr='84.237.120.114' 0.024972915649: DELETE FROM mr_sessions WHERE timeМосква
Мурманск
Архангельск
Астрахань
Белгород
Нижний Новгород
Новосибирск
Брянск
Омск
Орёл
Оренбург
Владимир
Волгоград
Вологда
Пенза
Воронеж
Пермь
Псков
Рязань
Самара
Санкт-Петербург
Саратов
Смоленск
Иваново
Иркутск
Калининград
Калуга
Тамбов
Кемерово
Тверь
Киров
Томск
Тула
Тюмень
Ульяновск
Кострома
Челябинск
Курган
Курск
Чита
Липецк
Магадан
Ярославль


cities in regs: 195
Волосово (Ленинградская область)
Палласовка (Волгоградская область)
Волхов (Ленинградская область)
Партизанск (Приморский край)
Певек (Чукотский автономный округ)
Воркута (Республика Коми)
Первомайск (Нижегородская область)
Первоуральск (Свердловская область)
Ворсма (Нижегородская область)
Перевоз (Нижегородская область)
Воскресенск (Московская область)
Пересвет (Московская область)
Воткинск (Удмуртская Республика)
Переславль-Залесский (Ярославская область)
Всеволожск (Ленинградская область)
Вуктыл (Республика Коми)
Пестово (Новгородская область)
Петров Вал (Волгоградская область)
Выкса (Нижегородская область)
Петровск (Саратовская область)
Высоковск (Московская область)
Петровск-Забайкальский (Читинская область)
Высоцк (Ленинградская область)
Вытегра (Вологодская область)
Вышний Волочек (Тверская область)
Петухово (Курганская область)
Вяземский (Хабаровский край)
Петушки (Владимирская область)
Вязники (Владимирская область)
Печора (Республика Коми)
Вязьма (Смоленская область)
Печоры (Псковская область)
Вятские Поляны (Кировская область)
Пикалево (Ленинградская область)
Гаврилов Посад (Ивановская область)
Пионерский (Калининградская область)
Гаврилов-Ям (Ярославская область)
Питкяранта (Республика Карелия)
Гагарин (Смоленская область)
Плавск (Тульская область)
Гаджиево (Мурманская область)
Пласт (Челябинская область)
Гай (Оренбургская область)
Плес (Ивановская область)
Галич (Костромская область)
Поворино (Воронежская область)
Гатчина (Ленинградская область)
Гвардейск (Калининградская область)
Подпорожье (Ленинградская область)
Гдов (Псковская область)
Покачи (Ханты-Мансийский автономный округ - Югра)
Покров (Владимирская область)
Георгиевск (Ставропольский край)
Покровск (Республика Саха (Якутия))
Глазов (Удмуртская Республика)
Полевской (Свердловская область)
Голицыно (Московская область)
Полесск (Калининградская область)
Горбатов (Нижегородская область)
Полысаево (Кемеровская область)
Горно-Алтайск (Республика Алтай)
Полярные Зори (Мурманская область)
Горнозаводск (Пермский край)
Полярный (Мурманская область)
Горняк (Алтайский край)
Поронайск (Сахалинская область)
Городец (Нижегородская область)
Порхов (Псковская область)
Городище (Пензенская область)
Похвистнево (Самарская область)
Городовиковск (Республика Калмыкия)
Почеп (Брянская область)
Гороховец (Владимирская область)
Починок (Смоленская область)
Горячий Ключ (Краснодарский край)
Пошехонье (Ярославская область)
Грайворон (Белгородская область)
Правдинск (Калининградская область)
Гремячинск (Пермский край)
Приволжск (Ивановская область)
Грязи (Липецкая область)
Приморск (Ленинградская область)
Грязовец (Вологодская область)
Приморско-Ахтарск (Краснодарский край)
Губаха (Пермский край)
Приозерск (Ленинградская область)
Губкин (Белгородская область)
Губкинский (Ямало-Ненецкий автономный округ)
Пролетарск (Ростовская область)
Гуково (Ростовская область)
Протвино (Московская область)
Гулькевичи (Краснодарский край)
Гурьевск (Калининградская область)
Гурьевск (Кемеровская область)
Пугачев (Саратовская область)
Гусев (Калининградская область)
Пудож (Республика Карелия)
Гусиноозерск (Республика Бурятия)
Пустошка (Псковская область)
Гусь-Хрустальный (Владимирская область)
Пучеж (Ивановская область)
Давлеканово (Республика Башкортостан)
Дагестанские Огни (Республика Дагестан)
Далматово (Курганская область)
Пыталово (Псковская область)
Дальнегорск (Приморский край)
Пыть-Ях (Ханты-Мансийский автономный округ - Югра)
Дальнереченск (Приморский край)
Данилов (Ярославская область)
Радужный (Владимирская область)
Данков (Липецкая область)
Радужный (Ханты-Мансийский автономный округ - Югра)
Дегтярск (Свердловская область)
Райчихинск (Амурская область)
Демидов (Смоленская область)
Дербент (Республика Дагестан)
Ревда (Свердловская область)
Десногорск (Смоленская область)
Реж (Свердловская область)
Реутов (Московская область)
Дзержинский (Московская область)
Дивногорск (Красноярский край)
Родники (Ивановская область)
Дигора (Республика Северная Осетия - Алания)
Рославль (Смоленская область)
Россошь (Воронежская область)
Дмитриев-Льговский (Курская область)
Ростов (Ярославская область)
Дмитров (Московская область)
Дмитровск (Орловская область)
Рошаль (Московская область)
Дно (Псковская область)
Ртищево (Саратовская область)
Добрянка (Пермский край)
Рубцовск (Алтайский край)
Рудня (Смоленская область)
Руза (Московская область)
Домодедово (Московская область)
Рузаевка (Республика Мордовия)
Донской (Тульская область)
Рыбное (Рязанская область)
Рыльск (Курская область)
Дрезна (Московская область)
Ряжск (Рязанская область)
Дубовка (Волгоградская область)
Дудинка (Красноярский край)
Салаир (Кемеровская область)
Духовщина (Смоленская область)
Салехард (Ямало-Ненецкий автономный округ)
Дюртюли (Республика Башкортостан)
Сальск (Ростовская область)
Дятьково (Брянская область)
Егорьевск (Московская область)
Ейск (Краснодарский край)
Сарапул (Удмуртская Республика)
Елец (Липецкая область)
Елизово (Камчатская область)
Сасово (Рязанская область)
Ельня (Смоленская область)
Еманжелинск (Челябинская область)
Сафоново (Смоленская область)
Емва (Республика Коми)
Саяногорск (Республика Хакасия)
Енисейск (Красноярский край)
Саянск (Иркутская область)
Ершов (Саратовская область)
Ессентуки (Ставропольский край)
Светлоград (Ставропольский край)
Ефремов (Тульская область)
Светлый (Калининградская область)
Железноводск (Ставропольский край)
Светогорск (Ленинградская область)
Свирск (Иркутская область)
Свободный (Амурская область)
Железногорск-Илимский (Иркутская область)
Себеж (Псковская область)
Северо-Курильск (Сахалинская область)
Жердевка (Тамбовская область)
Северобайкальск (Республика Бурятия)
Жигулевск (Самарская область)
Жиздра (Калужская область)
Североморск (Мурманская область)
Североуральск (Свердловская область)
Жуков (Калужская область)
Жуковка (Брянская область)
Севск (Брянская область)
Жуковский (Московская область)
Сегежа (Республика Карелия)
Завитинск (Амурская область)
Сельцо (Брянская область)
Заводоуковск (Тюменская область)
Семенов (Нижегородская область)
Заволжск (Ивановская область)
Семикаракорск (Ростовская область)
Заволжье (Нижегородская область)
Сенгилей (Ульяновская область)
Заинск (Республика Татарстан)
Серафимович (Волгоградская область)
Закаменск (Республика Бурятия)
Сергач (Нижегородская область)
Заозерный (Красноярский край)
Заозерск (Мурманская область)
Сердобск (Пензенская область)
Западная Двина (Тверская область)
Серов (Свердловская область)
Заполярный (Мурманская область)
Серпухов (Московская область)
Зарайск (Московская область)
Сертолово (Ленинградская область)
Заречный (Пензенская область)
Сибай (Республика Башкортостан)
Заречный (Свердловская область)
Сим (Челябинская область)
Заринск (Алтайский край)
Сковородино (Амурская область)
Звенигово (Республика Марий Эл)
Скопин (Рязанская область)
Звенигород (Московская область)
Славгород (Алтайский край)
Зверево (Ростовская область)
Славск (Калининградская область)
Славянск-на-Кубани (Краснодарский край)
Зеленоградск (Калининградская область)
Сланцы (Ленинградская область)
Зеленодольск (Республика Татарстан)
Слободской (Кировская область)
Зеленокумск (Ставропольский край)
Слюдянка (Иркутская область)
Зерноград (Ростовская область)
Зея (Амурская область)
Зима (Иркутская область)
Златоуст (Челябинская область)
Собинка (Владимирская область)
Злынка (Брянская область)
Советск (Калининградская область)
Змеиногорск (Алтайский край)
Советск (Кировская область)
Знаменск (Астраханская область)
Советск (Тульская область)
Зубцов (Тверская область)
Зуевка (Кировская область)
Советский (Ханты-Мансийский автономный округ - Югра)
Сокол (Вологодская область)
Сокольники (Тульская область)
Ивантеевка (Московская область)
Солигалич (Костромская область)
Ивдель (Свердловская область)
Соликамск (Пермский край)
Игарка (Красноярский край)
Солнечногорск (Московская область)
Соль-Илецк (Оренбургская область)
Избербаш (Республика Дагестан)
Сольвычегодск (Архангельская область)
Изобильный (Ставропольский край)
Сольцы (Новгородская область)
Иланский (Красноярский край)
Сорочинск (Оренбургская область)
Инза (Ульяновская область)
Сорск (Республика Хакасия)
Инсар (Республика Мордовия)
Сортавала (Республика Карелия)
Сосенский (Калужская область)
Ипатово (Ставропольский край)
Сосновка (Кировская область)
Ирбит (Свердловская область)
Сосновоборск (Красноярский край)
Исилькуль (Омская область)
Сосногорск (Республика Коми)
Искитим (Новосибирская область)
Сочи (Краснодарский край)
Спас-Деменск (Калужская область)
Ишим (Тюменская область)
Спас-Клепики (Рязанская область)
Ишимбай (Республика Башкортостан)
Спасск (Пензенская область)
Спасск-Дальний (Приморский край)
Кадников (Вологодская область)
Спасск-Рязанский (Рязанская область)
Среднеколымск (Республика Саха (Якутия))
Калач (Воронежская область)
Среднеуральск (Свердловская область)
Калач-на-Дону (Волгоградская область)
Сретенск (Читинская область)
Калачинск (Омская область)
Старая Купавна (Московская область)
Калининск (Саратовская область)
Старая Русса (Новгородская область)
Калтан (Кемеровская область)
Старица (Тверская область)
Стародуб (Брянская область)
Калязин (Тверская область)
Стерлитамак (Республика Башкортостан)
Каменка (Пензенская область)
Стрежевой (Томская область)
Каменногорск (Ленинградская область)
Строитель (Белгородская область)
Каменск-Уральский (Свердловская область)
Струнино (Владимирская область)
Камень-на-Оби (Алтайский край)
Суворов (Тульская область)
Камешково (Владимирская область)
Суджа (Курская область)
Камызяк (Астраханская область)
Судогда (Владимирская область)
Камышин (Волгоградская область)
Суздаль (Владимирская область)
Камышлов (Свердловская область)
Суоярви (Республика Карелия)
Канаш (Чувашская Республика-Чувашия)
Сураж (Брянская область)
Кандалакша (Мурманская область)
Канск (Красноярский край)
Суровикино (Волгоградская область)
Карабаново (Владимирская область)
Сурск (Пензенская область)
Карабаш (Челябинская область)
Сусуман (Магаданская область)
Карабулак (Республика Ингушетия)
Сухиничи (Калужская область)
Карасук (Новосибирская область)
Сухой Лог (Свердловская область)
Карачаевск (Карачаево-Черкесская Республика)
Карачев (Брянская область)
Каргат (Новосибирская область)
Сысерть (Свердловская область)
